chr	start	end	R4	R5	R6	R7	R1	R2	R3	R8	R9	R10
10	0	999999	Oh43	B73	B73	B73	Oh43	Oh43	B73	Oh43	B73	Oh43
10	1000000	1999999	Oh43	B73	B73	B73	Oh43	Oh43	B73	Oh43	B73	Oh43
10	2000000	2999999	Oh43	B73	B73	B73	Oh43	Oh43	B73	Oh43	B73	Oh43
10	3000000	3999999	Oh43	B73	B73	B73	Oh43	Oh43	B73	Oh43	B73	Oh43
10	4000000	4999999	Oh43	B73	B73	B73	Oh43	Oh43	B73	Oh43	B73	Oh43
10	5000000	5999999	Oh43	B73	B73	B73	Oh43	Oh43	B73	Oh43	B73	Oh43
10	6000000	6999999	Oh43	B73	B73	B73	Oh43	Oh43	B73	Oh43	B73	Oh43
10	7000000	7999999	Oh43	B73	B73	B73	Oh43	Oh43	B73	Oh43	B73	Oh43
10	8000000	8999999	Oh43	B73	B73	B73	Oh43	Oh43	B73	B73	B73	Oh43
10	9000000	9999999	Oh43	B73	B73	Oh43	Oh43	Oh43	B73	B73	B73	Oh43
10	10000000	10999999	B73	B73	B73	Oh43	Oh43	Oh43	B73	B73	B73	Oh43
10	11000000	11999999	B73	B73	B73	Oh43	Oh43	Oh43	B73	B73	B73	Oh43
10	12000000	12999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	B73	B73	Oh43
10	13000000	13999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	B73	B73	Oh43
10	14000000	14999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	B73	B73	Oh43
10	15000000	15999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	B73	B73	Oh43
10	16000000	16999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	Oh43	B73	Oh43
10	17000000	17999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	Oh43	B73	Oh43
10	18000000	18999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	Oh43	B73	Oh43
10	19000000	19999999	B73	B73	B73	Oh43	Oh43	Oh43	Oh43	Oh43	B73	Oh43
