line	start	end	donor1	donor2
1	0	17999999	VA85	VA85
1	18000000	133999999	DK63	DK63
1	134000000	144999999	F492	F492
1	145000000	146999999	D105_inra	D105_inra
1	147000000	150000000	B73_inra	B73_inra
2	0	10999999	W117_inra	W117_inra
2	11000000	101999999	A632_usa	A632_usa
2	102000000	141999999	F492	F492
2	142000000	144999999	DK63	DK63
2	145000000	147999999	ND245	ND245
2	148000000	150000000	D105_inra	D105_inra
3	0	14999999	W117_inra	W117_inra
3	15000000	74999999	B96	B96
3	75000000	81999999	D105_inra	D105_inra
3	82000000	83999999	VA85	VA85
3	84000000	114999999	F492	F492
3	115000000	129999999	DK63	DK63
3	130000000	150000000	B73_inra	B73_inra
4	0	10999999	B96	B96
4	11000000	77999999	W117_inra	W117_inra
4	78000000	129999999	EP1_inra	EP1_inra
4	130000000	133999999	OH43_inra	OH43_inra
4	134000000	136999999	A654_inra	A654_inra
4	137000000	138999999	A632_usa	A632_usa
4	139000000	150000000	FV252_inra	FV252_inra
5	0	3999999	D105_inra	D105_inra
5	4000000	25999999	C103_inra	C103_inra
5	26000000	81999999	A654_inra	A654_inra
5	82000000	84999999	FV252_inra	FV252_inra
5	85000000	112999999	W117_inra	W117_inra
5	113000000	136999999	EP1_inra	EP1_inra
5	137000000	146999999	D105_inra	D105_inra
5	147000000	150000000	VA85	VA85
6	0	10999999	VA85	VA85
6	11000000	24999999	F492	F492
6	25000000	71999999	EP1_inra	EP1_inra
6	72000000	102999999	W117_inra	W117_inra
6	103000000	110999999	FV2_inra	FV2_inra
6	111000000	124999999	C103_inra	C103_inra
6	125000000	143999999	OH43_inra	OH43_inra
6	144000000	150000000	B73_inra	B73_inra
7	0	103999999	ND245	ND245
7	104000000	126999999	B96	B96
7	127000000	137999999	FV2_inra	FV2_inra
7	138000000	150000000	OH43_inra	OH43_inra
8	0	4999999	B73_inra	B73_inra
8	5000000	8999999	A632_usa	A632_usa
8	9000000	21999999	CO255_inra	CO255_inra
8	22000000	69999999	W117_inra	W117_inra
8	70000000	94999999	ND245	ND245
8	95000000	105999999	VA85	VA85
8	106000000	121999999	F492	F492
8	122000000	136999999	FV2_inra	FV2_inra
8	137000000	141999999	A654_inra	A654_inra
8	142000000	150000000	OH43_inra	OH43_inra
9	0	1999999	A632_usa	A632_usa
9	2000000	16999999	CO255_inra	CO255_inra
9	17000000	31999999	ND245	ND245
9	32000000	115999999	VA85	VA85
9	116000000	146999999	OH43_inra	OH43_inra
9	147000000	147999999	C103_inra	C103_inra
9	148000000	150000000	FV2_inra	FV2_inra
10	0	9999999	OH43_inra	OH43_inra
10	10000000	125999999	A632_usa	A632_usa
10	126000000	130999999	ND245	ND245
10	131000000	150000000	B96	B96
