line	start	end	donor1	donor2
6	275461	1287330	VA85	VA85
6	4688530	4904755	VA85	VA85
6	5878329	6354859	VA85	VA85
6	6355136	6597537	OH43_inra	OH43_inra
6	15037960	16507327	A632_usa	A632_usa
6	17784635	18183714	FV2_inra	FV2_inra
6	18186491	18807833	F492	F492
6	20710047	20931733	VA85	VA85
6	35936497	36331284	EP1_inra	EP1_inra
6	39597515	71962612	EP1_inra	EP1_inra
6	71962612	84617949	W117_inra	W117_inra
6	87311509	87703410	W117_inra	W117_inra
6	90234803	90881768	W117_inra	W117_inra
6	91370386	91796798	A632_usa	A632_usa
6	92545966	93410562	A632_usa	A632_usa
6	96616140	98383288	W117_inra	W117_inra
6	99221258	99742909	W117_inra	W117_inra
6	99743282	99911476	OH43_inra	OH43_inra
6	99911577	100450060	W117_inra	W117_inra
6	102003172	102513472	OH43_inra	OH43_inra
6	103439700	104787917	FV2_inra	FV2_inra
6	106490379	107337681	FV2_inra	FV2_inra
6	118394298	119151088	C103_inra	C103_inra
6	126151399	126305861	FV252_inra	FV252_inra
6	126328466	126556320	OH43_inra	OH43_inra
6	129544752	129837825	CO255_inra	CO255_inra
6	130930592	131593852	OH43_inra	OH43_inra
6	131993277	132110600	A632_usa	A632_usa
6	133533303	133908327	VA85	VA85
6	133908809	134082363	FV252_inra	FV252_inra
6	135024167	135352220	FV252_inra	FV252_inra
6	139418421	140163135	OH43_inra	OH43_inra
6	148415791	149602124	B73_inra	B73_inra
8	2785816	8858523	A632_usa	A632_usa
8	20710047	21137802	CO255_inra	CO255_inra
8	28497825	29635212	W117_inra	W117_inra
8	34244990	34528895	FV252_inra	FV252_inra
8	41657384	70025114	W117_inra	W117_inra
8	70025114	84617949	ND245	ND245
8	85828736	86112137	ND245	ND245
8	88566601	88695623	ND245	ND245
8	89556596	89938296	ND245	ND245
8	91370386	91541648	ND245	ND245
8	94014647	94586750	ND245	ND245
8	99911577	100113261	VA85	VA85
8	103677199	104013602	VA85	VA85
8	104037492	105070629	A632_usa	A632_usa
8	105073880	105315927	VA85	VA85
8	106956452	107830451	FV252_inra	FV252_inra
8	108844044	110022513	F492	F492
8	116818293	116997609	F492	F492
8	128014308	128580596	FV2_inra	FV2_inra
8	135024167	135352220	FV2_inra	FV2_inra
8	139418421	139733664	A654_inra	A654_inra
8	140411300	140504875	A654_inra	A654_inra
8	143739819	144038971	OH43_inra	OH43_inra
8	147556384	147844079	OH43_inra	OH43_inra
3	275461	15010360	W117_inra	W117_inra
3	15010360	42944553	B96	B96
3	59313909	59518409	A632_usa	A632_usa
3	63086738	63417166	B96	B96
