chr	v4start	v4end	v4size	v4chr.end	v3start	v3end	v3size	v3chr.end
1	136.77	137.12	0.35	307.04	134.22	134.96	0.74	301.47
2	95.51	97.49	1.98	244.44	93.52	95.37	1.85	237.91
3	85.78	86.93	1.15	235.67	99.79	101.0	1.21	232.24
4	109.07	110.5	1.43	246.99	105.36	106.21	0.85	242.06
5	104.54	106.82	2.28	223.90	101.98	104.19	2.21	217.95
6	52.3	53.11	0.8	174.03	49.75	50.37	0.62	169.40
7	56.38	56.68	0.3	182.38	22.73	23.23	0.5	176.82
8	50.53	52.07	1.54	181.12	49.06	50.97	1.92	175.37
9	57.36	57.76	1.65	159.77	52.42	54.21	1.79	157.03
10	51.39	52.78	1.39	150.98	50.07	51.81	1.74	149.63
