sample	chr	start	end	donor1	donor2
M1	10	0	17999999	VA85	VA85
M1	10	18000000	133999999	DK63	DK63
M1	10	134000000	144999999	F492	F492
M1	10	145000000	146999999	D105_inra	D105_inra
M1	10	147000000	150000000	B73_inra	B73_inra
M2	10	0	10999999	W117_inra	W117_inra
M2	10	11000000	101999999	A632_usa	A632_usa
M2	10	102000000	141999999	F492	F492
M2	10	142000000	144999999	DK63	DK63
M2	10	145000000	147999999	ND245	ND245
M2	10	148000000	150000000	D105_inra	D105_inra
M3	10	0	14999999	W117_inra	W117_inra
M3	10	15000000	74999999	B96	B96
M3	10	75000000	81999999	D105_inra	D105_inra
M3	10	82000000	83999999	VA85	VA85
M3	10	84000000	114999999	F492	F492
M3	10	115000000	129999999	DK63	DK63
M3	10	130000000	150000000	B73_inra	B73_inra
M4	10	0	10999999	B96	B96
M4	10	11000000	77999999	W117_inra	W117_inra
M4	10	78000000	129999999	EP1_inra	EP1_inra
M4	10	130000000	133999999	OH43_inra	OH43_inra
M4	10	134000000	136999999	A654_inra	A654_inra
M4	10	137000000	138999999	A632_usa	A632_usa
M4	10	139000000	150000000	FV252_inra	FV252_inra
M5	10	0	3999999	D105_inra	D105_inra
M5	10	4000000	25999999	C103_inra	C103_inra
M5	10	26000000	81999999	A654_inra	A654_inra
M5	10	82000000	84999999	FV252_inra	FV252_inra
M5	10	85000000	112999999	W117_inra	W117_inra
M5	10	113000000	136999999	EP1_inra	EP1_inra
M5	10	137000000	146999999	D105_inra	D105_inra
M5	10	147000000	150000000	VA85	VA85
M6	10	0	10999999	VA85	VA85
M6	10	11000000	24999999	F492	F492
M6	10	25000000	71999999	EP1_inra	EP1_inra
M6	10	72000000	102999999	W117_inra	W117_inra
M6	10	103000000	110999999	FV2_inra	FV2_inra
M6	10	111000000	124999999	C103_inra	C103_inra
M6	10	125000000	143999999	OH43_inra	OH43_inra
M6	10	144000000	150000000	B73_inra	B73_inra
M7	10	0	103999999	ND245	ND245
M7	10	104000000	126999999	B96	B96
M7	10	127000000	137999999	FV2_inra	FV2_inra
M7	10	138000000	150000000	OH43_inra	OH43_inra
M8	10	0	4999999	B73_inra	B73_inra
M8	10	5000000	8999999	A632_usa	A632_usa
M8	10	9000000	21999999	CO255_inra	CO255_inra
M8	10	22000000	69999999	W117_inra	W117_inra
M8	10	70000000	94999999	ND245	ND245
M8	10	95000000	105999999	VA85	VA85
M8	10	106000000	121999999	F492	F492
M8	10	122000000	136999999	FV2_inra	FV2_inra
M8	10	137000000	141999999	A654_inra	A654_inra
M8	10	142000000	150000000	OH43_inra	OH43_inra
M9	10	0	1999999	A632_usa	A632_usa
M9	10	2000000	16999999	CO255_inra	CO255_inra
M9	10	17000000	31999999	ND245	ND245
M9	10	32000000	115999999	VA85	VA85
M9	10	116000000	146999999	OH43_inra	OH43_inra
M9	10	147000000	147999999	C103_inra	C103_inra
M9	10	148000000	150000000	FV2_inra	FV2_inra
M10	10	0	9999999	OH43_inra	OH43_inra
M10	10	10000000	125999999	A632_usa	A632_usa
M10	10	126000000	130999999	ND245	ND245
M10	10	131000000	150000000	B96	B96
