	ril	chr	start	end	donor1	donor2
0	R3	10	2657467	4696036	B97	CML69
1	R3	10	5765063	6597678	HP301	Ki11
2	R3	10	6598144	8790902	CML103	M162W
3	R7	10	228730	2136430	KI3	Tx303
4	R7	10	2842475	4614062	M37W	NC350
5	R7	10	4614072	4696036	NC350	Oh43
6	R7	10	4696048	4914355	Il14H	NC350
7	R7	10	4914364	5535173	B97	CML69
8	R7	10	5535191	5650321	Il14H	NC350
9	R7	10	78146467	79046831	NC350	Oh7B
10	R2	10	228730	1912271	CML228	MO18W
11	R2	10	1912284	4005463	CML69	CML322
12	R2	10	4022680	4247915	CML52	Ki11
13	R2	10	4269464	4587284	HP301	NC350
14	R2	10	4614072	4753877	CML228	Ms71
15	R5	10	2008987	4247915	Il14H	M37W
16	R5	10	4614072	4753877	B73	CML277
17	R5	10	4754371	5535173	B97	CML69
18	R5	10	5535191	5765053	B97	CML277
19	R5	10	5765063	8278350	CML103	M162W
20	R5	10	77510986	80623226	NC350	Oh7B
21	R8	10	228730	1283362	CML69	CML322
22	R8	10	1283370	2260760	M162W	NC358
23	R8	10	4914364	5911555	HP301	Ki11
24	R8	10	7145220	9409828	CML333	Il14H
25	R10	10	228730	3193711	CML69	CML322
26	R10	10	3193724	4247915	B97	CML52
27	R10	10	4614072	4753877	CML228	Ms71
28	R10	10	4754371	5535173	B97	CML69
29	R10	10	5535191	5765053	B73	CML69
30	R4	10	1912284	3193711	CML69	CML322
31	R4	10	3193724	4005463	CML228	NC350
32	R4	10	4022680	4614062	CML228	MO18W
33	R4	10	4614072	5765053	CML228	Ms71
34	R4	10	5765063	5911555	Il14H	Ki11
35	R4	10	5911560	6597678	Ki11	Ms71
36	R4	10	74451100	78146458	NC350	Oh7B
37	R6	10	228730	3193711	KI3	Tx303
38	R6	10	74901272	78146458	Ms71	Tx303
39	R1	10	2768518	2842419	B97	CML69
40	R1	10	3193724	4614062	CML228	MO18W
41	R1	10	4696048	4914355	CML228	Ms71
42	R1	10	74451100	79955151	NC350	Oh7B
43	R9	10	228730	1349099	Ki11	Oh43
44	R9	10	1349714	2842419	CML228	MO18W
45	R9	10	2842475	3193711	Ki11	Oh43
46	R9	10	4587302	4696036	B97	CML277
47	R9	10	4914364	5650321	CML228	HP301
48	R9	10	5650329	6377745	HP301	Ki11
49	R9	10	74451100	79955151	NC350	Oh7B
