chr	start	end	donor
1	50070000.0	51810000.0	Cent
1	0.0	5999999.0	CML322
1	6000000.0	82999999.0	CML333
1	83000000.0	103999999.0	Ki3
1	104000000.0	114999999.0	CML277
1	115000000.0	129999999.0	CML247
1	130000000.0	137999999.0	Ki11
1	138000000.0	143999999.0	MS71
1	144000000.0	150000000.0	Oh7B
2	50070000.0	51810000.0	Cent
2	0.0	999999.0	Ki3
2	1000000.0	2999999.0	CML52
2	3000000.0	16999999.0	Ki11
2	17000000.0	75999999.0	Tx303
2	76000000.0	115999999.0	Oh7B
2	116000000.0	118999999.0	MS71
2	119000000.0	130999999.0	CML322
2	131000000.0	136999999.0	CML103
2	137000000.0	139999999.0	Tzi8
2	140000000.0	150000000.0	Il14H
3	50070000.0	51810000.0	Cent
3	0.0	8999999.0	Tx303
3	9000000.0	13999999.0	Hp301
3	14000000.0	17999999.0	CML247
3	18000000.0	89999999.0	CML52
3	90000000.0	100999999.0	Tzi8
3	101000000.0	108999999.0	Il14H
3	109000000.0	130999999.0	CML333
3	131000000.0	131999999.0	CML322
3	132000000.0	138999999.0	CML103
3	139000000.0	150000000.0	Oh7B
4	50070000.0	51810000.0	Cent
4	0.0	7999999.0	CML69
4	8000000.0	72999999.0	CML52
4	73000000.0	79999999.0	Il14H
4	80000000.0	91999999.0	Ky21
4	92000000.0	114999999.0	CML333
4	115000000.0	129999999.0	Tx303
4	130000000.0	135999999.0	Tzi8
4	136000000.0	150000000.0	CML277
5	50070000.0	51810000.0	Cent
5	0.0	21999999.0	CML333
5	22000000.0	115999999.0	CML277
5	116000000.0	116999999.0	Il14H
5	117000000.0	127999999.0	CML69
5	128000000.0	150000000.0	MS71
6	50070000.0	51810000.0	Cent
6	0.0	8999999.0	Hp301
6	9000000.0	88999999.0	Tzi8
6	89000000.0	97999999.0	Tx303
6	98000000.0	100999999.0	Ki11
6	101000000.0	146999999.0	CML322
6	147000000.0	147999999.0	Oh7B
6	148000000.0	150000000.0	MS71
7	50070000.0	51810000.0	Cent
7	0.0	108999999.0	Hp301
7	109000000.0	130999999.0	CML322
7	131000000.0	132999999.0	Ky21
7	133000000.0	134999999.0	CML103
7	135000000.0	150000000.0	Ki11
8	50070000.0	51810000.0	Cent
8	0.0	6999999.0	Ki3
8	7000000.0	12999999.0	CML247
8	13000000.0	80999999.0	CML69
8	81000000.0	96999999.0	Tx303
8	97000000.0	125999999.0	Ky21
8	126000000.0	130999999.0	Hp301
8	131000000.0	150000000.0	CML52
9	50070000.0	51810000.0	Cent
9	0.0	13999999.0	CML103
9	14000000.0	81999999.0	CML322
9	82000000.0	92999999.0	Hp301
9	93000000.0	100999999.0	CML247
9	101000000.0	133999999.0	Il14H
9	134000000.0	136999999.0	CML277
9	137000000.0	139999999.0	Tx303
9	140000000.0	150000000.0	Ki11
10	50070000.0	51810000.0	Cent
10	0.0	1999999.0	CML247
10	2000000.0	16999999.0	Il14H
10	17000000.0	107999999.0	Ki3
10	108000000.0	140999999.0	CML69
10	141000000.0	145999999.0	Hp301
10	146000000.0	150000000.0	Ki11
