sample	chr	start	end	donor1	donor2
M6	10	275461	1287330	VA85	VA85
M6	10	1288077	1498351	A632_usa	A654_inra
M6	10	1498470	1680374	A632_usa	B73_inra
M6	10	1680639	2016941	A632_usa	VA85
M6	10	2016972	2254417	A632_usa	OH43_inra
M6	10	2254837	4685870	A632_usa	VA85
M6	10	4688530	4904755	VA85	VA85
M6	10	4905492	5593216	A632_usa	VA85
M6	10	5593273	5725537	A632_usa	OH43_inra
M6	10	5726960	5878215	A632_usa	VA85
M6	10	5878329	6354859	VA85	VA85
M6	10	6355136	6597537	OH43_inra	OH43_inra
M6	10	6598527	8858523	A632_usa	OH43_inra
M6	10	8858581	9501868	A632_usa	VA85
M6	10	9502061	10735663	A632_usa	OH43_inra
M6	10	10735774	10889066	B73_inra	F492
M6	10	10889419	15037381	A632_usa	F492
M6	10	15037960	16507327	A632_usa	A632_usa
M6	10	16507406	16930776	A632_usa	F492
M6	10	16946908	17689070	A632_usa	FV2_inra
M6	10	17784635	18183714	FV2_inra	FV2_inra
M6	10	18186491	18807833	F492	F492
M6	10	18808492	19860271	A632_usa	F492
M6	10	19861267	20709941	A632_usa	OH43_inra
M6	10	20710047	20931733	VA85	VA85
M6	10	20933268	21137802	A632_usa	B96
M6	10	21138153	21408350	A632_usa	A654_inra
M6	10	21409113	21701415	A632_usa	CO255_inra
M6	10	21701551	22105766	A632_usa	F492
M6	10	22107201	22268087	A632_usa	DK63
M6	10	22269567	24342523	A632_usa	F492
M6	10	24343167	24608118	A632_usa	A654_inra
M6	10	24608203	24972143	A632_usa	CO255_inra
M6	10	25305606	25785401	A632_usa	EP1_inra
M6	10	25785486	26356306	A632_usa	FV252_inra
M6	10	26356424	33615097	A632_usa	EP1_inra
M6	10	33615244	33774744	A632_usa	FV252_inra
M6	10	33776563	34244943	A632_usa	EP1_inra
M6	10	34244990	34528895	A632_usa	A654_inra
M6	10	34529332	34995448	A632_usa	EP1_inra
M6	10	34995520	35919634	A632_usa	FV252_inra
M6	10	35936497	36331284	EP1_inra	EP1_inra
M6	10	36331552	37297180	A632_usa	EP1_inra
M6	10	37298531	37568252	A632_usa	FV252_inra
M6	10	37568948	37824342	A632_usa	EP1_inra
M6	10	37824760	38318355	A632_usa	FV252_inra
M6	10	38318601	39597050	A632_usa	EP1_inra
M6	10	39597515	71962612	EP1_inra	EP1_inra
M6	10	71962612	84617949	W117_inra	W117_inra
M6	10	84622408	85826737	A632_usa	W117_inra
M6	10	85828736	86438751	A632_usa	FV252_inra
M6	10	86439178	87311403	A632_usa	W117_inra
M6	10	87311509	87703410	W117_inra	W117_inra
M6	10	88067415	89556525	A632_usa	W117_inra
M6	10	89556596	89938296	A632_usa	D105_inra
M6	10	89938528	90234752	A632_usa	CO255_inra
