haplotype	start	end
gc10s0	228730	627708
gc10s100	19528153	19640530
gc10s101	19640533	19815703
gc10s102	19815718	20008146
gc10s103	20008152	20252701
gc10s104	20252764	20477869
gc10s105	20477904	20653970
gc10s106	20653985	20846648
gc10s107	20846656	21001569
gc10s108	21001591	21214717
gc10s109	21214746	21396559
gc10s10	2159286	2329971
gc10s110	21396561	21578962
gc10s111	21578964	21831864
gc10s112	21831866	22029308
gc10s113	22029325	22158256
gc10s114	22158258	22327344
gc10s115	22327357	22518493
gc10s116	22518499	22722930
gc10s117	22722939	22900274
gc10s118	22900275	23114244
gc10s119	23114314	23260892
gc10s11	2330073	2490766
gc10s120	23260896	23497416
gc10s121	23497417	23750430
gc10s122	23750431	23917053
gc10s123	23917120	24056425
gc10s124	24056444	24209002
gc10s125	24209020	24342142
gc10s126	24342143	24484331
gc10s127	24484342	24645913
gc10s128	24645915	24789578
gc10s129	24789602	24997788
gc10s12	2490788	2632578
gc10s130	24997793	25126367
gc10s131	25126371	25264963
gc10s132	25264978	25514714
gc10s133	25514723	25710385
gc10s134	25710386	25971841
gc10s135	25971854	26272922
gc10s136	26272944	26470690
gc10s137	26470766	26773914
gc10s138	26773930	27046989
gc10s139	27047037	27270472
gc10s13	2632581	2770335
gc10s140	27270475	27466322
gc10s141	27466340	27656079
gc10s142	27656105	27762777
gc10s143	27762780	28006840
gc10s144	28006841	28235553
gc10s145	28235568	28526352
gc10s146	28526396	28655454
gc10s147	28655498	28828586
gc10s148	28828601	28981072
gc10s149	28981075	29122274
gc10s14	2770336	2991835
gc10s150	29122283	29246829
gc10s151	29246830	29427364
gc10s152	29427420	29557378
gc10s153	29557383	29730882
gc10s154	29730885	29973917
gc10s155	29973918	30193950
gc10s156	30193965	30322936
gc10s157	30322945	30443755
gc10s158	30443815	30616175
gc10s159	30616177	30842959
gc10s15	2991836	3136550
gc10s160	30842975	31056577
gc10s161	31056578	31226678
gc10s162	31226696	31385723
gc10s163	31385724	31579712
gc10s164	31579747	31770497
gc10s165	31770510	32039914
