sample	chr	start	end	donor1	donor2
M1	10	0	5999999	CML322	CML322
M1	10	6000000	82999999	CML333	CML333
M1	10	83000000	103999999	Ki3	Ki3
M1	10	104000000	114999999	CML277	CML277
M1	10	115000000	129999999	CML247	CML247
M1	10	130000000	137999999	Ki11	Ki11
M1	10	138000000	143999999	MS71	MS71
M1	10	144000000	150000000	Oh7B	Oh7B
M2	10	0	999999	Ki3	Ki3
M2	10	1000000	2999999	CML52	CML52
M2	10	3000000	16999999	Ki11	Ki11
M2	10	17000000	75999999	Tx303	Tx303
M2	10	76000000	115999999	Oh7B	Oh7B
M2	10	116000000	118999999	MS71	MS71
M2	10	119000000	130999999	CML322	CML322
M2	10	131000000	136999999	CML103	CML103
M2	10	137000000	139999999	Tzi8	Tzi8
M2	10	140000000	150000000	Il14H	Il14H
M3	10	0	8999999	Tx303	Tx303
M3	10	9000000	13999999	Hp301	Hp301
M3	10	14000000	17999999	CML247	CML247
M3	10	18000000	89999999	CML52	CML52
M3	10	90000000	100999999	Tzi8	Tzi8
M3	10	101000000	108999999	Il14H	Il14H
M3	10	109000000	130999999	CML333	CML333
M3	10	131000000	131999999	CML322	CML322
M3	10	132000000	138999999	CML103	CML103
M3	10	139000000	150000000	Oh7B	Oh7B
M4	10	0	7999999	CML69	CML69
M4	10	8000000	72999999	CML52	CML52
M4	10	73000000	79999999	Il14H	Il14H
M4	10	80000000	91999999	Ky21	Ky21
M4	10	92000000	114999999	CML333	CML333
M4	10	115000000	129999999	Tx303	Tx303
M4	10	130000000	135999999	Tzi8	Tzi8
M4	10	136000000	150000000	CML277	CML277
M5	10	0	21999999	CML333	CML333
M5	10	22000000	115999999	CML277	CML277
M5	10	116000000	116999999	Il14H	Il14H
M5	10	117000000	127999999	CML69	CML69
M5	10	128000000	150000000	MS71	MS71
M6	10	0	8999999	Hp301	Hp301
M6	10	9000000	88999999	Tzi8	Tzi8
M6	10	89000000	97999999	Tx303	Tx303
M6	10	98000000	100999999	Ki11	Ki11
M6	10	101000000	146999999	CML322	CML322
M6	10	147000000	147999999	Oh7B	Oh7B
M6	10	148000000	150000000	MS71	MS71
M7	10	0	108999999	Hp301	Hp301
M7	10	109000000	130999999	CML322	CML322
M7	10	131000000	132999999	Ky21	Ky21
M7	10	133000000	134999999	CML103	CML103
M7	10	135000000	150000000	Ki11	Ki11
M8	10	0	6999999	Ki3	Ki3
M8	10	7000000	12999999	CML247	CML247
M8	10	13000000	80999999	CML69	CML69
M8	10	81000000	96999999	Tx303	Tx303
M8	10	97000000	125999999	Ky21	Ky21
M8	10	126000000	130999999	Hp301	Hp301
M8	10	131000000	150000000	CML52	CML52
M9	10	0	13999999	CML103	CML103
M9	10	14000000	81999999	CML322	CML322
M9	10	82000000	92999999	Hp301	Hp301
M9	10	93000000	100999999	CML247	CML247
M9	10	101000000	133999999	Il14H	Il14H
M9	10	134000000	136999999	CML277	CML277
M9	10	137000000	139999999	Tx303	Tx303
M9	10	140000000	150000000	Ki11	Ki11
M10	10	0	1999999	CML247	CML247
M10	10	2000000	16999999	Il14H	Il14H
M10	10	17000000	107999999	Ki3	Ki3
M10	10	108000000	140999999	CML69	CML69
M10	10	141000000	145999999	Hp301	Hp301
M10	10	146000000	150000000	Ki11	Ki11
