line	start	end	donor1	donor2
6	275461	1287330	VA85	VA85
6	1288077	1498351	A632_usa	A654_inra
6	1498470	1680374	A632_usa	B73_inra
6	1680639	2016941	A632_usa	VA85
6	2016972	2254417	A632_usa	OH43_inra
6	2254837	4685870	A632_usa	VA85
6	4688530	4904755	VA85	VA85
6	4905492	5593216	A632_usa	VA85
6	5593273	5725537	A632_usa	OH43_inra
6	5726960	5878215	A632_usa	VA85
6	5878329	6354859	VA85	VA85
6	6355136	6597537	OH43_inra	OH43_inra
6	6598527	8858523	A632_usa	OH43_inra
6	8858581	9501868	A632_usa	VA85
6	9502061	10735663	A632_usa	OH43_inra
6	10735774	10889066	B73_inra	F492
6	10889419	15037381	A632_usa	F492
6	15037960	16507327	A632_usa	A632_usa
6	16507406	16930776	A632_usa	F492
6	16946908	17689070	A632_usa	FV2_inra
6	17784635	18183714	FV2_inra	FV2_inra
6	18186491	18807833	F492	F492
6	18808492	19860271	A632_usa	F492
6	19861267	20709941	A632_usa	OH43_inra
6	20710047	20931733	VA85	VA85
6	20933268	21137802	A632_usa	B96
6	21138153	21408350	A632_usa	A654_inra
6	21409113	21701415	A632_usa	CO255_inra
6	21701551	22105766	A632_usa	F492
6	22107201	22268087	A632_usa	DK63
6	22269567	24342523	A632_usa	F492
6	24343167	24608118	A632_usa	A654_inra
6	24608203	24972143	A632_usa	CO255_inra
6	25305606	25785401	A632_usa	EP1_inra
6	25785486	26356306	A632_usa	FV252_inra
6	26356424	33615097	A632_usa	EP1_inra
6	33615244	33774744	A632_usa	FV252_inra
6	33776563	34244943	A632_usa	EP1_inra
6	34244990	34528895	A632_usa	A654_inra
6	34529332	34995448	A632_usa	EP1_inra
6	34995520	35919634	A632_usa	FV252_inra
6	35936497	36331284	EP1_inra	EP1_inra
6	36331552	37297180	A632_usa	EP1_inra
6	37298531	37568252	A632_usa	FV252_inra
6	37568948	37824342	A632_usa	EP1_inra
6	37824760	38318355	A632_usa	FV252_inra
6	38318601	39597050	A632_usa	EP1_inra
6	39597515	71962612	EP1_inra	EP1_inra
6	71962612	84617949	W117_inra	W117_inra
6	84622408	85826737	A632_usa	W117_inra
6	85828736	86438751	A632_usa	FV252_inra
6	86439178	87311403	A632_usa	W117_inra
6	87311509	87703410	W117_inra	W117_inra
6	88067415	89556525	A632_usa	W117_inra
6	89556596	89938296	A632_usa	D105_inra
6	89938528	90234752	A632_usa	CO255_inra
6	90234803	90881768	W117_inra	W117_inra
6	91370386	91796798	A632_usa	A632_usa
6	91797205	92545767	A632_usa	FV252_inra
6	92545966	93410562	A632_usa	A632_usa
6	93410981	96615121	A632_usa	W117_inra
6	96616140	98383288	W117_inra	W117_inra
6	98383516	99221063	A632_usa	W117_inra
6	99221258	99742909	W117_inra	W117_inra
6	99743282	99911476	OH43_inra	OH43_inra
6	99911577	100450060	W117_inra	W117_inra
6	100450183	100972315	A632_usa	W117_inra
6	100973058	101997584	A632_usa	OH43_inra
6	102003172	102513472	OH43_inra	OH43_inra
6	102514194	103167180	A632_usa	FV2_inra
6	103439700	104787917	FV2_inra	FV2_inra
6	104788136	106068079	A632_usa	FV2_inra
6	106490379	107337681	FV2_inra	FV2_inra
6	107337795	110323082	A632_usa	FV2_inra
6	110323401	111200464	FV252_inra	FV2_inra
6	111200789	116997609	A632_usa	C103_inra
6	116997641	117096586	A632_usa	A654_inra
6	117098221	118019799	A632_usa	C103_inra
6	118019963	118393403	A632_usa	FV252_inra
6	118394298	119151088	C103_inra	C103_inra
6	119152272	123697393	A632_usa	C103_inra
6	123697429	123904728	A632_usa	FV2_inra
6	123904776	124251513	A632_usa	C103_inra
6	124251579	124346881	A632_usa	OH43_inra
6	124347064	124546245	A632_usa	C103_inra
6	124752289	125185334	FV252_inra	OH43_inra
6	125216108	125868209	A632_usa	OH43_inra
6	125872270	126151368	A632_usa	FV252_inra
6	126151399	126305861	FV252_inra	FV252_inra
6	126328466	126556320	OH43_inra	OH43_inra
6	126556441	126669427	A632_usa	OH43_inra
6	126669492	126912953	A632_usa	CO255_inra
6	126913059	128013502	A632_usa	OH43_inra
6	128014308	128580596	A632_usa	FV252_inra
6	128584390	128970276	A632_usa	OH43_inra
6	128970462	129544719	A632_usa	CO255_inra
6	129544752	129837825	CO255_inra	CO255_inra
6	129838266	130930299	A632_usa	OH43_inra
6	130930592	131593852	OH43_inra	OH43_inra
6	131761850	131924510	A632_usa	FV252_inra
6	131993277	132110600	A632_usa	A632_usa
6	132110681	133532242	A632_usa	FV252_inra
6	133533303	133908327	VA85	VA85
6	133908809	134082363	FV252_inra	FV252_inra
6	134082446	135023957	A632_usa	FV252_inra
6	135024167	135352220	FV252_inra	FV252_inra
6	135352346	139413606	A632_usa	OH43_inra
6	139418421	140163135	OH43_inra	OH43_inra
6	140165674	144038971	A632_usa	OH43_inra
6	144039166	148415490	A632_usa	B73_inra
6	148415791	149602124	B73_inra	B73_inra
8	275461	2785734	A632_usa	B73_inra
8	2785816	8858523	A632_usa	A632_usa
8	8858581	20709941	A632_usa	CO255_inra
8	20710047	21137802	CO255_inra	CO255_inra
8	21138153	21701415	A632_usa	CO255_inra
8	21701551	23810975	A632_usa	W117_inra
8	23811083	24342523	A632_usa	FV252_inra
8	24343167	24793312	A632_usa	W117_inra
8	24793649	24972143	A632_usa	CO255_inra
8	24972267	25785401	A632_usa	W117_inra
8	25785486	26356306	A632_usa	FV252_inra
8	26356424	27110507	A632_usa	C103_inra
8	27110852	27548702	A632_usa	W117_inra
8	27548783	27657997	A632_usa	CO255_inra
8	27658057	28497789	A632_usa	W117_inra
8	28497825	29635212	W117_inra	W117_inra
8	29656989	30445313	A632_usa	CO255_inra
8	30445376	33615097	A632_usa	W117_inra
8	33615244	34244943	A632_usa	FV252_inra
8	34244990	34528895	FV252_inra	FV252_inra
8	34529332	41652466	A632_usa	FV252_inra
8	41657384	70025114	W117_inra	W117_inra
8	70025114	84617949	ND245	ND245
8	84622408	85826737	A632_usa	ND245
8	85828736	86112137	ND245	ND245
8	86112172	86438751	A632_usa	ND245
8	86439178	86755359	A632_usa	F492
8	86755497	87311403	A632_usa	ND245
8	87311509	88051117	A632_usa	FV2_inra
8	88067415	88566282	A632_usa	ND245
8	88566601	88695623	ND245	ND245
8	88696231	89556525	A632_usa	ND245
8	89556596	89938296	ND245	ND245
8	89938528	90497922	A632_usa	ND245
8	90498580	90881768	A632_usa	F492
8	90882598	91280974	A632_usa	ND245
8	91370386	91541648	ND245	ND245
8	91541779	92927998	A632_usa	ND245
8	92928230	93410562	A632_usa	OH43_inra
8	93410981	94013518	A632_usa	ND245
8	94014647	94586750	ND245	ND245
8	94586800	95216598	W117_inra	ND245
8	95217371	95448851	A632_usa	W117_inra
8	95449344	98383288	A632_usa	VA85
8	98383516	99911476	A632_usa	FV252_inra
8	99911577	100113261	VA85	VA85
8	100114333	100972315	A632_usa	FV252_inra
8	100973058	103439033	A632_usa	C103_inra
8	103439700	103676518	A632_usa	CO255_inra
8	103677199	104013602	VA85	VA85
8	104037492	105070629	A632_usa	A632_usa
8	105073880	105315927	VA85	VA85
8	105316069	106068079	A632_usa	OH43_inra
8	106956452	107830451	FV252_inra	FV252_inra
8	107830709	108430816	A632_usa	FV252_inra
8	108430918	108840049	A632_usa	F492
8	108844044	110022513	F492	F492
8	110022525	110778922	A632_usa	F492
8	110779272	111200464	A632_usa	FV252_inra
8	111200789	112136285	A632_usa	F492
8	112144587	112328702	A632_usa	W117_inra
8	112329407	113536646	A632_usa	F492
8	113536725	113848743	A632_usa	W117_inra
8	113849259	114078635	A632_usa	F492
8	114133824	114368419	A632_usa	OH43_inra
8	114370661	114892724	A632_usa	F492
8	114976464	116817705	A632_usa	A654_inra
8	116818293	116997609	F492	F492
8	116997641	121744125	A632_usa	A654_inra
8	121744214	121987603	A654_inra	FV2_inra
8	121987745	124750059	A632_usa	FV2_inra
8	124752289	125559471	A632_usa	FV252_inra
8	125559563	126556320	A632_usa	FV2_inra
8	126556441	126669427	A632_usa	FV252_inra
8	126669492	128013502	A632_usa	FV2_inra
8	128014308	128580596	FV2_inra	FV2_inra
8	128584390	128970276	A632_usa	CO255_inra
8	128970462	129837825	A632_usa	FV2_inra
8	129838266	130103352	A632_usa	CO255_inra
8	130104500	133195254	A632_usa	FV2_inra
8	133195363	133349595	A632_usa	CO255_inra
8	133349838	133843419	A632_usa	FV2_inra
8	133844387	134082363	A632_usa	CO255_inra
8	134082446	134797488	A632_usa	FV2_inra
8	134815572	135023957	A632_usa	CO255_inra
8	135024167	135352220	FV2_inra	FV2_inra
8	135352346	136959395	A632_usa	FV2_inra
8	136959439	137193046	CO255_inra	A654_inra
8	137193091	137339396	A632_usa	CO255_inra
8	137339859	139413606	A632_usa	A654_inra
8	139418421	139733664	A654_inra	A654_inra
8	139733755	140409407	A632_usa	A654_inra
8	140411300	140504875	A654_inra	A654_inra
8	140507275	141762413	A632_usa	A654_inra
8	141762451	142142212	OH43_inra	A654_inra
8	142142413	143739723	A632_usa	OH43_inra
8	143739819	144038971	OH43_inra	OH43_inra
8	144039166	147554454	A632_usa	OH43_inra
8	147556384	147844079	OH43_inra	OH43_inra
8	147844985	148415490	A632_usa	OH43_inra
8	148415791	148707844	A632_usa	FV252_inra
3	275461	15010360	W117_inra	W117_inra
3	15010360	42944553	B96	B96
3	42944644	51385833	A632_usa	B96
3	51390949	52219698	A632_usa	A654_inra
3	52219774	53609716	A632_usa	B96
3	53609785	56059341	A632_usa	FV252_inra
3	56059564	56494208	A632_usa	B96
3	56494253	58405467	A632_usa	FV252_inra
3	58448309	58685329	A632_usa	A654_inra
3	58685363	59053797	A632_usa	FV252_inra
3	59054095	59313121	A632_usa	B96
3	59313909	59518409	A632_usa	A632_usa
3	59518453	59574300	A632_usa	CO255_inra
